标题,播放量,评论数,收藏数,点赞数,弹幕数,视频时长,视频链接
石雷鹏：英语四级直通车Pro,47819,0,0,0,0,,https://www.bilibili.com/cheese/play/ss14356?query_from=0&search_id=13010999885151065387&search_query=%E5%A4%A7%E5%AD%A6%E8%8B%B1%E8%AF%AD%E5%9B%9B%E5%85%AD%E7%BA%A7
四六级英语听力保姆级教程！1个月5步得满分！,107606,120,6534,6465,48,2:24,http://www.bilibili.com/video/av421693177
6月15号！大学英语四六级！10篇翻译预测已出，考试确定从里面抽！,4118,62,448,217,3,3:22,http://www.bilibili.com/video/av1953846830
6月15日！大学英语四六级考试！11篇翻译预侧新鲜出炉！,312,2,23,10,12,10:55,http://www.bilibili.com/video/av1954447440
【唐顿庄园第一季】第一集（01）｜看英剧学英语｜高清中英双字｜词汇讲解｜大学英语四六级｜专四｜专八｜核心词汇,54912,14,1087,553,5,9:58,http://www.bilibili.com/video/av892446935
【合集】大学英语四级 CET4 全程提分技巧课 考点详解 快速上岸！语法词汇听力写作阅读理解翻译口语英语四六级专升本英语一二,55201,39,3316,1091,502,291:56,http://www.bilibili.com/video/av821203056
【CET-6】大学英语六级核心词汇课程（26课全）,250696,191,14515,4046,3540,556:28,http://www.bilibili.com/video/av669015219
北外学姐带你四六级过线！这样刷真题，1套顶10套！| 附全套备考资料,67038,376,5418,5623,605,6:36,http://www.bilibili.com/video/av256025657
四级,15445,13,376,83,64,5412:14,http://www.bilibili.com/video/av78883846
【四六级】陈正康老师大学英语四六级救命词,61512,39,2639,1058,401,585:28,http://www.bilibili.com/video/av203316521
大型纪录片之《考不过的四六级》，大学生染上四级，四级染上四年！,84295,22,391,659,108,1:3,http://www.bilibili.com/video/av706657612
无偿免费分享 英语四六级真题汇总｜1990-2023年12月英语四级六级真题及答案解析（电子版pdf）,1284,4,68,89,0,0:13,http://www.bilibili.com/video/av1504223167
【CET6】近30年来大学英语六级听力真题带选项带字幕,340825,317,22444,6861,1125,164:17,http://www.bilibili.com/video/av54690329
【四六级】10天背完六级核心词！考前急救！,104215,174,7747,3342,316,76:57,http://www.bilibili.com/video/av595631918
【2024大英赛】三天速成，大英赛最强获奖技巧+得分要领 | 全国大学生英语竞赛考前查缺补漏必备+轻松上分,66140,746,3348,1801,878,288:25,http://www.bilibili.com/video/av1353297923
大学生考四六级现状,120029,501,3453,11033,222,4:2,http://www.bilibili.com/video/av279492822
2022 大学【英语四六级】基础语法课程,3960,1,214,40,1,275:8,http://www.bilibili.com/video/av469749200
【学习-四六级】大学英语四级CET4真题解析(2015年12月-2019年12月)(星火英语艾考黑旋风试卷),368813,175,16196,5498,1525,2469:15,http://www.bilibili.com/video/av883240293
宋y轩-大学英语四六级高分突破班,5475,18,261,92,64,928:43,http://www.bilibili.com/video/av77214817
2023 年 12 月大学英语六级考试真题（第 1 套）,246,1,4,3,0,26:5,http://www.bilibili.com/video/av1204269908
B站好评最高的四六级翻译冲刺十套全（含讲义）,171443,54,5688,2360,262,106:57,http://www.bilibili.com/video/av329447054
四六级救命应试技巧，北外学姐手把手教你提分200＋，一次就能过！,462573,1663,27026,32476,5048,5:8,http://www.bilibili.com/video/av333556327
【B站最全CET4合集】历年大学英语四级听力真题 | 原文＆中英字幕,485949,234,23233,8690,65,1000:47,http://www.bilibili.com/video/av313799856
大学英语四级避坑,120225,887,11974,15719,6,0:50,http://www.bilibili.com/video/av316158673
大学英语四六级核心词汇,28862,22,779,491,93,91:53,http://www.bilibili.com/video/av99501213
【续集】一个视频搞定！完整免费 大学英语四六级考试全套精讲课程零基础备考（听力&amp;词汇&amp;语法&amp;阅读理解&amp;翻译&amp;写作）,40532,38,2713,749,74,522:13,http://www.bilibili.com/video/av610939716
12.16英语四六级考试 翻译12篇精华押题曝光了 看一眼都是分 大概率原题直出,289556,1732,29999,16940,193,2:0,http://www.bilibili.com/video/av963401547
一小时速成英语四六级！冲刺600+！阅读满分，裸考654，南大学姐手把手教学！,8007,83,235,247,113,7:7,http://www.bilibili.com/video/av490918080
【CET-4  英语四六级听力】最新最全每日半小时-更新至2023年3月最新版  快速提高听力水平！,368261,183,20443,7737,696,165:13,http://www.bilibili.com/video/av379057811
【英语】四六级听力速升几十分技巧！考前使用超棒！听力成绩提高技巧 考前冲刺方法,124097,331,3786,6825,166,3:59,http://www.bilibili.com/video/av760897974
"研究生学长教你四六级解题技巧,一个礼拜就能通过四六级,看不懂也能做对题!!!",758750,1165,73388,57875,4656,10:52,http://www.bilibili.com/video/av839425355
2022上半年四六级词汇课 合集 共30讲,1383803,1751,48902,27701,44278,621:20,http://www.bilibili.com/video/av254398709
B站好评最高的四六级翻译冲刺十套全（含讲义）,171443,54,5688,2360,262,106:57,http://www.bilibili.com/video/av329447054
【学习-四六级】大学英语四级CET4真题解析(2015年12月-2019年12月)(星火英语艾考黑旋风试卷),368813,175,16196,5498,1525,2469:15,http://www.bilibili.com/video/av883240293
【B站最全CET4合集】历年大学英语四级听力真题 | 原文＆中英字幕,485949,234,23233,8690,65,1000:47,http://www.bilibili.com/video/av313799856
大学英语四六级核心词汇,28862,22,779,491,93,91:53,http://www.bilibili.com/video/av99501213
四六级救命应试技巧，北外学姐手把手教你提分200＋，一次就能过！,462573,1663,27026,32476,5048,5:8,http://www.bilibili.com/video/av333556327
【续集】一个视频搞定！完整免费 大学英语四六级考试全套精讲课程零基础备考（听力&amp;词汇&amp;语法&amp;阅读理解&amp;翻译&amp;写作）,40532,38,2713,749,74,522:13,http://www.bilibili.com/video/av610939716
12.16英语四六级考试 翻译12篇精华押题曝光了 看一眼都是分 大概率原题直出,289556,1732,29999,16940,193,2:0,http://www.bilibili.com/video/av963401547
一小时速成英语四六级！冲刺600+！阅读满分，裸考654，南大学姐手把手教学！,8007,83,235,247,113,7:7,http://www.bilibili.com/video/av490918080
2022上半年四六级词汇课 合集 共30讲,1383803,1751,48902,27701,44278,621:20,http://www.bilibili.com/video/av254398709
【CET-4  英语四六级听力】最新最全每日半小时-更新至2023年3月最新版  快速提高听力水平！,368261,183,20443,7737,696,165:13,http://www.bilibili.com/video/av379057811
"研究生学长教你四六级解题技巧,一个礼拜就能通过四六级,看不懂也能做对题!!!",758750,1165,73388,57875,4656,10:52,http://www.bilibili.com/video/av839425355
【英语】四六级听力速升几十分技巧！考前使用超棒！听力成绩提高技巧 考前冲刺方法,124097,331,3786,6825,166,3:59,http://www.bilibili.com/video/av760897974
全国大学英语六级口语考试CET-SET6考试流程视频,128683,494,2774,2804,722,15:25,http://www.bilibili.com/video/av712776490
四六级官方考试大纲词汇 （背这个就够了！,41412,81,3232,1209,9,279:44,http://www.bilibili.com/video/av250376462
2021年6-1大学英语四级听力(CET4)字幕+题目+答案+解析（第一套）,121622,105,1891,1651,205,46:19,http://www.bilibili.com/video/av376228101
大学英语四六级高频词组100个（绿色护眼视频朗读版）,18392,20,1505,732,21,8:19,http://www.bilibili.com/video/av592023449
当代大学生英语四级现状1.0,379436,880,6339,28744,329,1:25,http://www.bilibili.com/video/av784756959
大学这3类同学不用考四六级,89334,128,422,5322,2,0:50,http://www.bilibili.com/video/av785798240
2小时搞定大学英语六级超高频788词(词频由易到难排序 冲刺必备),153814,276,12004,4155,3442,167:59,http://www.bilibili.com/video/av764747303
全六级单词带读！不用买书就能背诵的大学英语六级词汇(会一个list一个list这样更新，介于up说话语速较慢，建议开1.25/1.5/2.0倍速),156090,325,5139,2880,863,293:47,http://www.bilibili.com/video/av802248796
【大学英语四级】2023年12月大学英语四六级考试-基础精讲网课视频CET4-完整版附讲义,6695,7,306,72,1,718:11,http://www.bilibili.com/video/av447882011
【过级必看】大学英语四级历年真题精讲解析大合集 四级考试专用真题讲解 四级/六级/考研/雅思/托福/出国/mba/考研英语,21577,7,1112,253,23,271:52,http://www.bilibili.com/video/av692529749
四级一次过啦！一次通关备考到位，大学无忧！#四六级#大学英语#星火四级通关,7451,13,425,702,26,2:36,http://www.bilibili.com/video/av1852789107
大量反复式四六级英语听力训练200句，适合磨耳朵，盲听+精听,689400,721,47560,20064,3984,107:15,http://www.bilibili.com/video/av811930963
cetsix 大学英语四六级 六级口语 考场官方真实视频,15193,55,195,107,233,13:22,http://www.bilibili.com/video/av36115557
准大学生暑假细分篇之『英语四六级』,92886,347,8004,9372,51,2:52,http://www.bilibili.com/video/av699912509
四六级备考经验｜中专零基础｜大二才开始学英语的我是如何考过四六级的？,84916,378,3136,2818,206,7:52,http://www.bilibili.com/video/av940701501
【抢分救命】学习必备，想过大学英语四级看这篇就够了，老师在往年真题讲解词汇，记得更牢，理解的更好~~·,764,2,42,14,0,2109:12,http://www.bilibili.com/video/av958890787
大学英语四六级阅读，只讲核心问题，1个月拿满分,30574,56,2448,2327,8,2:49,http://www.bilibili.com/video/av336819996
大型纪录片之《四级submission》，考四级前你心高气傲，四级考完你生死难料！,464179,265,1312,2955,157,1:17,http://www.bilibili.com/video/av237307487
推荐3个免费宝藏网课，顺利通过大学英语四六级。,50768,37,7588,5486,2,0:28,http://www.bilibili.com/video/av815982721
大学英语四六级具体考什么内容？怎么通过？建议点赞收藏转发,4594,3,125,142,1,0:51,http://www.bilibili.com/video/av689723507
英语四级,540,2,22,6,0,1916:57,http://www.bilibili.com/video/av213465766
大学四年都在考四六级有多蠢！,41830,120,290,1174,7,2:29,http://www.bilibili.com/video/av312791477
12月16号！大学英语四六级考试！13篇作文预测曝光！后悔才发现😭,59400,649,3283,1817,139,20:2,http://www.bilibili.com/video/av278623558
四六级为什么叫四级？大学生还可以考什么英文考试？,25043,138,401,1527,36,5:40,http://www.bilibili.com/video/av376856890
四六级裸考600+！清华学姐的懒人英语学习法~笔记到底怎么做,39642,59,2601,4989,8,2:40,http://www.bilibili.com/video/av493622253
【四级听力】大学英语听力CET4（2014.6-2018.12）（持续更新中）,42915,34,1620,439,14,438:55,http://www.bilibili.com/video/av52072641
玩了这个游戏，我的英语四六级直接考满分！,3960,18,68,50,6,11:22,http://www.bilibili.com/video/av922231252
【六级听力】大学英语听力CET6（2014.6-2018.12）（持续更新中）,55599,61,2382,564,32,483:55,http://www.bilibili.com/video/av52148702
2024年上半年四六级词汇课-预备第一讲 词根词缀，构词法,517599,585,13947,8586,1780,31:59,http://www.bilibili.com/video/av751452111
[英语四级英语六级技巧] 四级652分经验分享|大学英语四六级攻略|英语学习方法|英语解题技巧,88619,123,1637,1585,206,8:45,http://www.bilibili.com/video/av31998856
大学英语四六级具体考什么内容？怎么通过？建议点赞收藏转发,4594,3,125,142,1,0:51,http://www.bilibili.com/video/av689723507
推荐3个免费宝藏网课，顺利通过大学英语四六级。,50768,37,7588,5486,2,0:28,http://www.bilibili.com/video/av815982721
英语四级,540,2,22,6,0,1916:57,http://www.bilibili.com/video/av213465766
大学四年都在考四六级有多蠢！,41830,120,290,1174,7,2:29,http://www.bilibili.com/video/av312791477
四六级为什么叫四级？大学生还可以考什么英文考试？,25043,138,401,1527,36,5:40,http://www.bilibili.com/video/av376856890
四六级裸考600+！清华学姐的懒人英语学习法~笔记到底怎么做,39642,59,2601,4989,8,2:40,http://www.bilibili.com/video/av493622253
【四级听力】大学英语听力CET4（2014.6-2018.12）（持续更新中）,42915,34,1620,439,14,438:55,http://www.bilibili.com/video/av52072641
玩了这个游戏，我的英语四六级直接考满分！,3960,18,68,50,6,11:22,http://www.bilibili.com/video/av922231252
【六级听力】大学英语听力CET6（2014.6-2018.12）（持续更新中）,55599,61,2382,564,32,483:55,http://www.bilibili.com/video/av52148702
2024年上半年四六级词汇课-预备第一讲 词根词缀，构词法,517599,585,13947,8586,1780,31:59,http://www.bilibili.com/video/av751452111
12月16号！大学英语四六级考试！13篇作文预测曝光！后悔才发现😭,59400,649,3283,1817,139,20:2,http://www.bilibili.com/video/av278623558
[英语四级英语六级技巧] 四级652分经验分享|大学英语四六级攻略|英语学习方法|英语解题技巧,88619,123,1637,1585,206,8:45,http://www.bilibili.com/video/av31998856
大学英语六级过级救命班9点-刘晓艳,181713,364,7109,2164,1015,186:14,http://www.bilibili.com/video/av79210808
准哭了！6月17号大学英语四六级考试！10套最新预测卷已出！年年压年年中，赶紧行动起来吧！,51902,1505,3338,2820,136,4:9,http://www.bilibili.com/video/av911623876
2023年全新【英语四六级】【专升本英语】全套课程 词汇语法听力阅读写作翻译作文模板大学高中音标口语零基础雅思托福考研英语轻松过关技巧,166815,112,11640,4533,1605,1327:3,http://www.bilibili.com/video/av435483940
「石雷鹏最新24年6月英语四六级作文救命作文」橙拉2024年大学英语四级英语六级网课四六级救命作文6,87,3,1,1,0,602:7,http://www.bilibili.com/video/av1454304871
谁说四六级不重要的？为了找份好工作，我第7次考了英语六级，这次究竟有没有过呢？,201607,797,441,2979,414,3:31,http://www.bilibili.com/video/av627657983
6月17号！大学英语四六级考试！20篇翻译预测已出！,596897,8769,58644,38752,360,7:20,http://www.bilibili.com/video/av571279660
【四六级】考前急救 | 7天背完四级核心词！,124787,144,9042,3940,296,53:38,http://www.bilibili.com/video/av853048233
24英语四六级考试 | 假如你从4.21开始备考，进来一个救一个,2358,3,62,56,0,2:4,http://www.bilibili.com/video/av1853383919
"研究生学长教你四六级解题技巧,一个礼拜通过四六级,看不懂也能摸对题!",223080,442,19405,18332,2235,11:2,http://www.bilibili.com/video/av970350576
英语四六级满分备考经验|坚持精听两个月听力至少200分？四级六级最高的up主（之一）教你如何科学规划备考！听力瓶颈期无从下手？最全最详细方法，托福雅思也适用,180937,791,11959,20828,2126,9:25,http://www.bilibili.com/video/av844949943
大学英语四六级作文模板班写作教程,21175,16,1299,333,36,346:53,http://www.bilibili.com/video/av799342383
英语四六级考试，应该准备什么？,400309,773,7526,35393,937,5:21,http://www.bilibili.com/video/av251577421
【四六级模拟器】进来感受大学模拟考场！真实还原英语考试全套流程！,29249,76,1097,1302,64,618:23,http://www.bilibili.com/video/av248610682
【晓艳】四六级高分650+挑战，够胆你就来！,9209,0,160,197,0,1:32,http://www.bilibili.com/video/av911585408
英语四六级学习,3583,15,123,59,4,6275:55,http://www.bilibili.com/video/av200660856
如何蒙过四六级,420,1,39,23,0,1:46,http://www.bilibili.com/video/av346463158
英语四级,6582,11,149,285,0,2:1,http://www.bilibili.com/video/av519460852
【考前冲刺】2022年大学英语四六级听力最新真题特训（中英➕原文➕无字➕答案）送PDF与解析,20709,29,1422,910,7,418:8,http://www.bilibili.com/video/av425403041
20天考过四六级的狠方法,249,1,1,4,0,1:21,http://www.bilibili.com/video/av1454311907
「石雷鹏最新24年6月英语四六级作文救命作文」橙拉2024年大学英语四级英语六级网课四六级救命作文2,849,3,3,9,0,602:6,http://www.bilibili.com/video/av1454065297
【CET4】大学英语四级,1899,0,40,16,2,291:30,http://www.bilibili.com/video/av636866337
网红老师张雪峰：为什么大学一定要考过四六级？英语绝对值得利用大学时间好好学一学，不只是为了证书。,38373,44,616,729,120,8:44,http://www.bilibili.com/video/av57083321
大学英语晨读背诵经典  四六级考研英语,528,0,18,16,0,0:42,http://www.bilibili.com/video/av393347366
4个小时搞定大学英语四级,1078,1,65,24,0,215:31,http://www.bilibili.com/video/av774067438
大学英语四级自学用,1789,1,125,53,1,307:30,http://www.bilibili.com/video/av92431414
大学英语四级-考前急训突击-保命班,45742,117,1815,800,702,340:0,http://www.bilibili.com/video/av74572075
【大学生必看】我的六级考“早”了 错失轻松免修机会 英语四六级也有坑啊,55459,144,1054,2824,135,2:19,http://www.bilibili.com/video/av590578722
大学英语四六级写作万能句型（绿色护眼视听版）,40230,47,2752,1482,35,8:12,http://www.bilibili.com/video/av330593677
110分钟英语四六级听力沉浸式训练,99943,174,3186,1729,372,107:57,http://www.bilibili.com/video/av467711999
6月17号大学英语 四六级别摆烂，常考词汇就236个，4天够了😭,94110,1904,4962,3246,134,2:25,http://www.bilibili.com/video/av826298423
20天考过四六级的狠方法,249,1,1,4,0,1:21,http://www.bilibili.com/video/av1454311907
「石雷鹏最新24年6月英语四六级作文救命作文」橙拉2024年大学英语四级英语六级网课四六级救命作文2,849,3,3,9,0,602:6,http://www.bilibili.com/video/av1454065297
【CET4】大学英语四级,1899,0,40,16,2,291:30,http://www.bilibili.com/video/av636866337
网红老师张雪峰：为什么大学一定要考过四六级？英语绝对值得利用大学时间好好学一学，不只是为了证书。,38373,44,616,729,120,8:44,http://www.bilibili.com/video/av57083321
大学英语晨读背诵经典  四六级考研英语,528,0,18,16,0,0:42,http://www.bilibili.com/video/av393347366
4个小时搞定大学英语四级,1078,1,65,24,0,215:31,http://www.bilibili.com/video/av774067438
大学英语四级自学用,1789,1,125,53,1,307:30,http://www.bilibili.com/video/av92431414
大学英语四级-考前急训突击-保命班,45742,117,1815,800,702,340:0,http://www.bilibili.com/video/av74572075
【大学生必看】我的六级考“早”了 错失轻松免修机会 英语四六级也有坑啊,55459,144,1054,2824,135,2:19,http://www.bilibili.com/video/av590578722
大学英语四六级写作万能句型（绿色护眼视听版）,40230,47,2752,1482,35,8:12,http://www.bilibili.com/video/av330593677
6月17号大学英语 四六级别摆烂，常考词汇就236个，4天够了😭,94110,1904,4962,3246,134,2:25,http://www.bilibili.com/video/av826298423
大学英语六级考试大纲词汇,19535,19,1440,463,12,307:49,http://www.bilibili.com/video/av888568340
2021年六月刘晓艳英语四六级救命班【大音量版】（高清+有讲义）,15113,8,453,161,31,250:0,http://www.bilibili.com/video/av503496979
110分钟英语四六级听力沉浸式训练,99943,174,3186,1729,372,107:57,http://www.bilibili.com/video/av467711999
最新大学英语四级CET4系列课程（持续更新）江苏专转本,2947,7,129,68,2,237:6,http://www.bilibili.com/video/av942688195
干货 | 大学生怎么复习 | 大学英语四六级考试500+ | 如何自信 | 我在B站聊学习,87548,237,3599,1631,737,26:7,http://www.bilibili.com/video/av18489306
准大一必须知道的四级大坑，四六级备考攻略，听力潜规则。,124148,239,16394,12363,14,1:34,http://www.bilibili.com/video/av828818992
免费四六级 ！大学生英语真题自由！iPad生产力拉满,1177,6,35,23,0,0:34,http://www.bilibili.com/video/av704538602
四六级| 我是北大英专生，都听我的,5147,42,218,461,1,1:32,http://www.bilibili.com/video/av1053645304
【免费分享】2024年英语四六级瑞思拜讲义分享,173,1,6,4,0,0:18,http://www.bilibili.com/video/av1004193517
四六级混子大法|适用目标425多一分浪费人群|最简作文模板|快速做题技巧,371265,567,29557,17584,622,10:50,http://www.bilibili.com/video/av587808804
大学英语四级废物？,331781,397,531,10190,70,0:58,http://www.bilibili.com/video/av590337932
4小时搞定大学英语六级,1380,11,66,36,0,168:25,http://www.bilibili.com/video/av474147894
【大雁带你背四六级单词】词汇1,33180,9,320,213,3,3:14,http://www.bilibili.com/video/av538503526
四六级不许摆烂！考前必看382个翻译热点词汇【建议收藏】,10627,51,638,378,8,13:27,http://www.bilibili.com/video/av639064914
四六级裸考650+考研轻松上80 这些英语学习的习惯你学会了吗？,555334,1080,35552,17619,2077,27:54,http://www.bilibili.com/video/av44783681
简单粗暴提分大学英语四级听力课程【全集】CET4,3297,6,209,71,2,186:25,http://www.bilibili.com/video/av640330759
（2015-2023年12月）英语四六级真题试卷及答案解析（电子版pdf）免费下载,6277,240,386,504,3,0:13,http://www.bilibili.com/video/av1852844258
【晓艳】四六级英语600分计划——跟我4步走（持续更新）！,30889,32,1652,1941,8,1:52,http://www.bilibili.com/video/av813531694
大学英语四六级血的教训,68072,258,185,1064,32,2:14,http://www.bilibili.com/video/av730796585
23年四六级阅读-长篇阅读,350455,324,9947,12119,1676,20:8,http://www.bilibili.com/video/av655705227
【最全汇总！】历年大学英语四六级听力真题！附赠真题及答案！,10658,6,506,209,0,328:10,http://www.bilibili.com/video/av457432939
